name,artist,artist_followers,artist_genres,artist_popularity,song_popularity,album,release_date,duration_ms
Sevgi Sevgiyle Çoğalır,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,16,Düşler Ve Ötesi,2000,238626
Hayatın Üçüncü Gözü,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,18,İlhan-ı Aşk,1992,380933
"Yurtta Barış, Dünyada Barış",İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,19,Dünden Yarına,1988,178440
Çöpçüler,Erkin Koray,811083,"anatolian rock, arabesk",53,56,"Çöpçüler / Ceylan / Dünden Esintiler, Vol.2",1993-07-27,239266
Gül Pembe,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,"Mançoloji, Vol. 1",1999-02-23,308349
Dağlar Dağlar - V1,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,7'den Sonsuza Barış Manço Set,2014-02-01,336133
Gibi Gibi - V2,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,7'den Sonsuza Barış Manço Set,2014-02-01,236904
Ele Güne Karşı,MFÖ,1176742,"anatolian rock, turkish pop",53,57,Ele Güne Karşı Yapayalnız,2013-01-29,189367
Ceviz Ağacı,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,Merhaba Gençler,1994-02-02,349160
Namus Belası,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,En İyileriyle Cem Karaca,2017-05-31,264753
Deniz Üstü Köpürür,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,2.2.1973 Ankara,2016-02-02,248506
Islak Islak,Barış Akarsu,994237,"anatolian rock, karadeniz folk, turkish pop",53,0,Islak Islak,2004-12-31,286484
Gözlerin - Yalancı Yarim,Barış Akarsu,994237,"anatolian rock, karadeniz folk, turkish pop",53,0,Düşmeden Bulutlarda Koşmam Gerek,2006-08-03,190640
Aynalı Kemer,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,Barış Manço Forever,2014-02-01,186240
Bu Son Olsun,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,Bu Son Olsun,2015-03-04,166000
Tamirci Çırağı,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,56,Ölümsüzler,2004,296560
İşte Geldik Gidiyoruz,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,46,Merhaba Gençler,1987,367840
Uzun İnce Bir Yoldayım,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,40,Yorumcu,1989,221800
Gönül Ferman Dinlemiyor,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,54,Sahibinden İhtiyaçtan,1989-12-07,288106
Yiyin Efendiler,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,36,Yiyin Efendiler,2017-01-05,271240
Leylim Ley,Haramiler,156220,anatolian rock,43,35,Kar Yağıyor Bugün Ankara'ya,2002-06-26,295533
Dönence,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,58,Hal Hal,1989-12-22,404768
Sen De Başını Alıp Gitme,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,48,Nerde Kalmıştık,1992-10-21,275330
Geçti Dost Kervanı,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,30,Estağfurullah Ne Haddimize!,1983-04-09,257799
Üryan Geldim,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,37,Anadolu Efsaneleri,2013-12-29,257666
Yeni Bir Gün Doğdu Merhaba,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,43,Sarı Çizmeli Mehmet Ağa,1993,123866
Gurbet,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,60,Yorumcu,1989,206506
Aç Kapıyı Gir İçeri,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,0,Hayatım Şarkılarda,2001-05-02,236400
Hal Hal,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,38,"Mançoloji, Vol. 1",1999-02-23,228362
Aya Bak Yıldıza Bak,Tpao Batman Orkestrası,4578,anatolian rock,17,31,Şeker Alalım,1968-01-01,142422
Haram Geceler,Cem Kısmet - Pilli Bebek,89822,anatolian rock,50,60,Behzat Ç. (Orijinal Dizi ve Film Müzikleri),2012-07-05,274080
Sevmek İstiyorum,Erkut Taçkın,20692,anatolian rock,29,41,En İyileriyle Erkut Taçkın,1975,171333
Mihrimah,Nur Yoldas,19607,"anatolian rock, turkish pop",42,42,Sultan-ı Yegah,1998-06-11,303640
Ben Kimim,Candan Erçetin,1324074,"turkish pop, oyun havasi, arabesk",56,53,Kırık Kalpler Durağında,2009-01-01,268236
Kader Bağladı Bizi,Handan Kara,17474,"arabesk, turkish pop, anatolian rock",32,30,Kader Bağladı Bizi / Gidip Te Dönmemek Var,1973-04-02,248081
Sen Aslı'dan Da Güzelsin,Cumhur,2603,"anatolian rock, turkish pop",17,34,Sen Aslı'dan Da Güzelsin,1981-04-13,177569
Yalnızlar Rıhtımı,Korkut Koray,1605,anatolian rock,8,20,Yalnızlar Rıhtımı (45'lik),1969,189074
Ankara Rüzgarı,Nesrin Sipahi,26600,"anatolian rock, arabesk",43,41,"Nesrin Sipahi, Vol. 1",2000-03-30,203102
Olmalı mı Olmamalı mı,Bülent Ortaçgil,244690,"anatolian rock, turkish pop",43,42,Benimle Oynar Mısın,1993-04-15,131400
Olacak O Kadar,Gündoğarken,21585,"anatolian rock, turkish pop",42,32,Ankara'dan Abim Geldi,1993-05-03,196115
Yemyeşil Bir Deniz,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,40,Bezginin Gizli Mektupları,2000,358173
Hasret,Tanju Okan,120751,"anatolian rock, turkish pop, arabesk",44,35,Bir Zamanlar (Best Of),1999-08-13,182373
Mazi Kalbimde Yaradir,Esin Engin,31833,"tango, anatolian rock, turkish pop",34,39,Tangolar,1990-01-01,175560
İstemem,Erkin Koray,811083,"anatolian rock, arabesk",53,25,Mesafeler,1974,203413
Helvacı,Mavi Işıklar,95199,anatolian rock,48,38,Mavi Işıklar - Türk Pop Tarihi,2002-01-01,166626
Sarıldım Boşluğa,Enes Bozyiğit,422,"anatolian rock, arabesk",21,20,Sarıldım Boşluğa,2023-08-25,201600
Dere Boyu Kavaklar,Eren Can Maşalacı,124,anatolian rock,12,1,Zaman Yolcusu,2024-12-20,188048
Beraber Olsak,Enes Bozyiğit,422,"anatolian rock, arabesk",21,19,Beraber Olsak,2023-06-20,173875
Hekimoğlu,Eren Can Maşalacı,124,anatolian rock,12,0,Zaman Yolcusu,2024-12-20,186144
Ay Karanlık,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,32,Cem Karaca Koleksiyon,2015-01-01,185160
Çark-ı Felek,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,21,Merhaba Gençler,1987,248266
Çaya Kaç Şeker,Moğollar,229734,"anatolian rock, oyun havasi",38,34,Umut Yolunu Bulur,2009-11-25,262293
Gündüzüm Seninle,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,62,Bir Sır Gibi,1986,243146
Bir Gülü Sevdim,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,60,Piyanist,1986,249066
