name,artist,artist_followers,artist_genres,artist_popularity,song_popularity,album,release_date,duration_ms
Başkası Mı Var,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,49,Belki Bir Gün (Orijinal Plak Kayıtları),1985,222750
Ara Beni Lütfen,Kenan Doğulu,1248329,"turkish pop, t-pop",66,75,Festival,2006-06-13,279799
Keşke,Yalın,2487185,"turkish pop, t-pop",71,62,Bir Bakmışsın,2005-04-13,297430
Benden Adam Olmaz,Şehrin Azizleri,2234,anatolian rock,22,39,Benden Adam Olmaz,2018-11-15,231102
Dolunay,Reynmen,3191624,"turkish pop, turkish hip hop",62,56,RnBesk,2020-02-02,199022
Naber?,Hande Yener,2135132,"turkish pop, t-pop",68,45,Mükemmel,2014-06-02,198661
Unutamadım,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,53,"Mançoloji, Vol. 1",1999-02-23,267441
Güzel Kadın,Raviş,37031,,35,51,Güzel Kadın,2015-10-16,216771
Yabani,Aşkın Nur Yengi,831637,"turkish pop, arabesk",57,57,Haberci,1997-06-06,223840
Benimle Oynama,Burak Kut,201773,turkish pop,48,57,Benimle Oynama / Çılgınım,1994-04-29,256959
İkinci Bahar,Sezen Aksu,13986198,"arabesk, turkish pop",74,46,Firuze,1982-01-01,164080
Zor Kadın,Sertab Erener,2310274,turkish pop,68,53,Sertab Erener,1999-03-24,228826
Sen Banasın,Cihan Mürtezaoğlu,208138,turkish pop,51,49,Bitsin Bu Delilik,2016-09-30,254760
Denize Bıraksam,Göksel,1782533,turkish pop,63,53,Sen Orda Yoksun,2015-01-01,214144
