name,artist,artist_followers,artist_popularity,song_popularity,album,release_date,genre,danceability,energy,valence,tempo,duration(min)
Gözüm Seni Görmese De,Gülden Karaböcek,843.558,57,59,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",26-08-1987,other,"0,652","0,711","0,499","122,0",3:51
Ağlıyorsam Yaşıyorum,Gülden Karaböcek,843.558,57,57,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",26-08-1987,other,"0,633","0,634","0,529","125,0",3:56
Tek Sevenim Sen Olsan,Gülden Karaböcek,843.558,57,38,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",26-08-1987,other,"0,649","0,61","0,569","122,0",5:09
Ayrılık Kolyesi,Gülden Karaböcek,843.558,57,32,Müzik Ve Ben,07-10-2013,other,"0,61","0,671","0,56","125,0",4:20
Kaybolan Hayaller,Gülden Karaböcek,843.558,57,28,Müzik Ve Ben,07-10-2013,other,"0,624","0,711","0,493","128,0",3:22
Mahşer Gününde,Gülden Karaböcek,843.558,57,31,Gülden Fırtınası,02-02-1987,other,"0,624","0,689","0,46","126,0",4:30
Duyarmısın Feryadımı,Gülden Karaböcek,843.558,57,39,Duyarmısın Feryadımı (Gülden Karaböcek Altın Klasikleri),26-08-1987,other,"0,636","0,65","0,528","115,0",6:06
Bahtıma Yanarım,Gülden Karaböcek,843.558,57,28,Müzik Ve Ben,07-10-2013,other,"0,668","0,695","0,498","126,0",4:23
Can Mı Dayanır,Gülden Karaböcek,843.558,57,17,Gülden Fırtınası,02-02-1987,other,"0,667","0,66","0,451","118,0",6:15
Dur Bırakma Beni,Gülden Karaböcek,843.558,57,18,Orijinal Kayıtlar ve Remixler 1971 / 1973,01-06-2018,other,"0,621","0,673","0,52","123,0",3:10
Kısmetse Olur,Gülden Karaböcek,843.558,57,24,Kısmetse Olur,29-05-1992,other,"0,615","0,655","0,543","123,0",3:22
Dostum Dostum,Gülden Karaböcek,843.558,57,20,Dostum,11-02-1987,other,"0,62","0,648","0,453","116,0",4:32
Aşkın Gözyaşları,Gülden Karaböcek,843.558,57,21,Gülden Fırtınası,02-02-1987,other,"0,612","0,735","0,464","129,0",3:34
Elimde Fotoğrafın,Bergen,1.772.697,55,62,Sevgimin Bedeli,01-01-1998,other,"0,584","0,644","0,505","117,0",6:55
Acıların Kadını,Bergen,1.772.697,55,37,Acıların Kadını,18-06-1998,other,"0,618","0,667","0,503","125,0",3:16
Dertli Dertli,Bergen,1.772.697,55,41,Acıların Kadını,18-06-1998,other,"0,602","0,642","0,547","116,0",4:20
Geceler,Bergen,1.772.697,55,35,Sevgimin Bedeli,01-01-1998,other,"0,655","0,691","0,531","117,0",3:55
Bırakın Gitsin,Bergen,1.772.697,55,26,İnsan Severse,24-12-1998,other,"0,668","0,634","0,471","117,0",4:29
Canım Dediklerim,Bergen,1.772.697,55,36,Sevgimin Bedeli,01-01-1998,other,"0,626","0,734","0,478","120,0",5:32
Ayrılık Aşkımın Çilesi,Bergen,1.772.697,55,22,İstemiyorum,01-01-1998,other,"0,588","0,69","0,502","114,0",5:12
Ne Oldu Sanki,Bergen,1.772.697,55,25,Giden Gençliğim,02-02-2006,other,"0,631","0,628","0,521","120,0",5:16
Gücüm Kalmadı,Bergen,1.772.697,55,22,Gücüm Kalmadı,06-12-2024,other,"0,64","0,629","0,54","127,0",6:52
Söyle Canım,Erol Evgin,293.918,56,56,Söyle Canım / Hep Böyle Kal,01-01-1980,other,"0,576","0,614","0,555","117,0",3:30
İçim Yanar,Ferdi Tayfur,1.399.340,60,6,Mor Güller / Fadime'nin Düğünü,03-03-1994,other,"0,603","0,664","0,481","128,0",4:18
Hatıran Yeter,Ferdi Tayfur,1.399.340,60,7,Hoşçakal,16-10-1990,other,"0,623","0,689","0,522","124,0",4:47
Sabahçı Kahvesi,Ferdi Tayfur,1.399.340,60,6,Prangalar,26-06-1992,other,"0,629","0,649","0,551","124,0",4:40
Huzurum Kalmadı,Ferdi Tayfur,1.399.340,60,55,Huzurum Kalmadı,28-08-2002,other,"0,651","0,699","0,486","124,0",3:53
Sigarayı Bıraktım,Ferdi Tayfur,1.399.340,60,4,Zengin Olursam,17-12-1999,other,"0,578","0,619","0,464","119,0",3:33
Bana Da Söyle,Ferdi Tayfur,1.399.340,60,3,Bana Da Söyle,22-07-1991,other,"0,588","0,697","0,511","121,0",5:31
Gitmeyin Yıllar,Ferdi Tayfur,1.399.340,60,1,"Ferdifon'dan Seçmeler, Vol. 2",04-02-1987,other,"0,584","0,654","0,472","124,0",5:53
Hasret Sancısı,Ferdi Tayfur,1.399.340,60,40,Ben de Özledim,01-01-1982,other,"0,639","0,69","0,57","123,0",4:45
Bir Yabancı Gibi,Ferdi Tayfur,1.399.340,60,0,Ya Benimsin Ya Toprağın,01-01-1987,other,"0,619","0,62","0,488","121,0",4:47
Seni Dilendim,Ferdi Tayfur,1.399.340,60,40,Sen de mi Leyla,01-01-1983,other,"0,575","0,65","0,451","116,0",4:07
Sensin Tesellim,Ferdi Tayfur,1.399.340,60,0,Yaktı Beni,24-11-2004,other,"0,652","0,735","0,511","122,0",4:16
Bu Günler Yaşanacak,Ferdi Tayfur,1.399.340,60,41,Nisan Yağmuru,22-03-2002,other,"0,638","0,658","0,551","122,0",4:58
Tövbekar,Ferdi Tayfur,1.399.340,60,39,Yuvasız Kuşlar,28-08-2002,other,"0,578","0,604","0,541","119,0",4:37
Sen Nerdesin Ben Nerdeyim,Ferdi Tayfur,1.399.340,60,0,Prangalar,26-06-1992,other,"0,597","0,675","0,47","121,0",5:11
Son Arzum,Nilüfer,1.259.419,62,68,Selam Söyle,14-05-2004,pop,"0,764","0,757","0,686","114,0",3:26
Sana Güvenmiyorum,Nilüfer Örer,6.003,36,49,Şımarık,01-01-1997,other,"0,581","0,709","0,549","120,0",3:39
İnkar Etme,Nilüfer,1.259.419,62,62,Sen Mühimsin,01-01-1990,pop,"0,772","0,656","0,706","121,0",4:15
Rüyalara Sor,Mustafa Ceceli,1.483.295,59,52,Rüyalara Sor,19-08-2020,huzunlu-pop,"0,599","0,464","0,33","119,0",3:04
İlle De Aşk,Mustafa Ceceli,1.483.295,59,53,Kalpten,15-12-2014,huzunlu-pop,"0,53","0,59","0,284","113,0",2:51
Bedel,Mustafa Ceceli,1.483.295,59,43,Bedel,18-10-2019,huzunlu-pop,"0,582","0,511","0,349","119,0",3:20
Sevenler Ağlarmış,3 Hürel,124.728,39,50,3 Hürel (Türk Pop Tarihi),01-01-1999,other,"0,594","0,713","0,521","120,0",5:53
Sana Değmez,3 Hürel,124.728,39,31,Efsane Yeniden,13-06-1996,other,"0,641","0,689","0,47","116,0",4:54
Haram,3 Hürel,124.728,39,28,3 Hürel (Türk Pop Tarihi),01-01-1999,other,"0,591","0,629","0,457","120,0",2:38
Ne Olurdu Sanki,3 Hürel,124.728,39,19,Efsane Yeniden,13-06-1996,other,"0,598","0,675","0,489","125,0",4:30
Ağlarsa Anam Ağlar,3 Hürel,124.728,39,25,1953 Hürel,01-01-1999,other,"0,599","0,637","0,553","130,0",3:57
Gönül Sabreyle Sabreyle,3 Hürel,124.728,39,21,3 Hürel (Türk Pop Tarihi),01-01-1999,other,"0,638","0,613","0,566","127,0",4:24
Son Günümüz,3 Hürel,124.728,39,15,1953 Hürel,01-01-1999,other,"0,662","0,739","0,554","116,0",4:22
Canım Kurban,3 Hürel,124.728,39,22,3 Hürel (Türk Pop Tarihi),01-01-1999,other,"0,657","0,635","0,535","127,0",3:17
Anlasana,İlhan İrem,193.824,46,53,Dünden Yarına,01-01-1988,other,"0,646","0,695","0,509","123,0",4:26
