name,artist,artist_followers,artist_popularity,song_popularity,album,release_date,genre,danceability,energy,valence,tempo,duration(min)
Bulamazsın,Zeki Müren,831.664,52,40,Hayat Öpücüğü,01-01-1987,other,"0,6","0,658","0,516","115,0",5:09
Asiye,Kâzım Koyuncu,1.170.316,55,43,Hayde,17-03-2004,other,"0,598","0,619","0,474","128,0",4:45
Gurbette Sevgilim,Ferdi Özbeğen,274.779,61,56,Piyanist,01-01-1986,other,"0,623","0,688","0,546","127,0",4:30
Yolcu Yolunda Gerek,Nilüfer,1.259.419,62,44,Esmer Günler,01-01-1989,pop,"0,789","0,759","0,663","121,0",3:52
Boş Vere Boş Vere,Nil Burak,98.785,40,34,Boş Vere Boş Vere,25-05-1980,other,"0,618","0,728","0,51","120,0",3:42
Kurumuş Bir Dal Gibiyim,Ferdi Özbeğen,274.779,61,33,Şarkılarım,05-04-1991,other,"0,588","0,645","0,476","128,0",4:11
Geceler Düşman,Aşkın Nur Yengi,831.637,57,41,Kara Çiçeğim,12-12-1994,pop,"0,768","0,658","0,739","120,0",5:32
Gökyüzünde Yalnız Gezen Yıldızlar,Zeki Müren,831.664,52,37,Anılarım,29-05-1990,other,"0,647","0,74","0,567","116,0",3:34
Kalbe Dolan O İlk Bakış,Nesrin Sipahi,26.600,43,38,"Nesrin Sipahi, Vol. 2",30-03-2000,other,"0,636","0,637","0,548","129,0",3:08
Ne Çok Çektim Hasretini,Müzeyyen Senar,287.278,47,22,Ben Seni Unutmak Için Sevmedim,02-11-2006,other,"0,576","0,739","0,476","128,0",2:50
Yıldızların Altında,Nesrin Sipahi,26.600,43,39,Odeon Yılları (Türk Sanat Müziği Serisi),09-12-2006,other,"0,65","0,65","0,551","128,0",3:14
Nasıl Geçti Habersiz O Güzelim Yıllarım,Zeki Müren,831.664,52,36,"Zeki Müren Klasikleri, Vol. 6",20-01-1970,other,"0,588","0,683","0,547","125,0",3:28
Beklenen Şarkı,Zeki Müren,831.664,52,39,Hayat Öpücüğü,01-01-1987,other,"0,661","0,604","0,534","129,0",3:22
Aşk Yok Olmaktır,Yıldız Tilbe,3.793.187,68,70,Aşkperest,02-08-1996,arabesk,"0,586","0,659","0,343","113,0",4:40
Kız Sen İstanbul'un Neresindensin,Emel Sayın,228.262,46,38,Sizlerle (Sevgisiz Yaşayamam),12-03-2007,other,"0,658","0,669","0,487","122,0",4:21
Deli Eylül,Hüsnü Arkan,182.869,46,37,Kanat Sesleri,08-10-2023,other,"0,579","0,633","0,476","122,0",3:40
İki Keklik - Akustik,Ceren Gündoğdu,25.733,39,35,Kalbimin Odalarından,17-09-2021,other,"0,57","0,729","0,474","116,0",4:38
Sorma,Ayşegül Aldinç,297.677,51,42,Sorma / Benden Söylemesi,30-05-1991,pop,"0,762","0,779","0,721","117,0",3:53
Kulaklarını Kapat,Stabil,542.890,55,35,STANBUL,08-11-2024,other,"0,572","0,682","0,56","126,0",2:45
Mesele2,Stabil,542.890,55,0,Stabil,30-11-2012,other,"0,655","0,72","0,565","120,0",3:15
Bilmeyen mi var ?,Stabil,542.890,55,0,Bilmeyen mi var ?,24-04-2020,other,"0,664","0,655","0,462","119,0",3:00
Seke Seke,Stabil,542.890,55,0,OKSMRN1,30-07-2021,other,"0,584","0,622","0,564","127,0",2:11
Sensiz Devam Edemem,Stabil,542.890,55,0,OKSMRN2,27-05-2022,other,"0,666","0,691","0,471","129,0",2:02
Mesele,Stabil,542.890,55,0,Stabil,30-11-2012,other,"0,639","0,73","0,544","118,0",2:34
O,Stabil,542.890,55,0,O,21-07-2018,other,"0,629","0,625","0,487","125,0",3:12
Ben Kimim,Stabil,542.890,55,0,Stabil,30-11-2012,other,"0,583","0,702","0,564","129,0",2:47
Gökyüzü,Stabil,542.890,55,0,Gökyüzü,17-09-2018,other,"0,609","0,739","0,566","115,0",3:01
MATHILDA,Stabil,542.890,55,0,OKSMRN1,30-07-2021,other,"0,63","0,729","0,566","118,0",3:33
İstanbul,Stabil,542.890,55,47,STANBUL,08-11-2024,other,"0,627","0,731","0,467","126,0",2:50
Uyu,Stabil,542.890,55,0,Stabil,30-11-2012,other,"0,594","0,738","0,47","128,0",2:34
Reenkarne,Stabil,542.890,55,0,Reenkarne,12-12-2018,other,"0,579","0,699","0,527","128,0",5:31
Sokak Güvercini,Stabil,542.890,55,51,Sokak Güvercini,13-01-2018,other,"0,615","0,637","0,48","115,0",3:09
Serseri Bey,Stabil,542.890,55,0,Serseri Bey,26-04-2019,other,"0,596","0,615","0,45","120,0",4:03
Lavanta,Stabil,542.890,55,0,Stabil,30-11-2012,other,"0,643","0,736","0,556","122,0",1:31
Neopolis Şekli,Stabil,542.890,55,38,Neopolis Şekli,10-03-2023,other,"0,608","0,676","0,462","122,0",2:51
Fani,Emre Altuğ,388.448,51,30,Fani,24-01-2025,pop,"0,776","0,741","0,702","115,0",2:48
Ben Kalbimin Orta Yerine Seni Yazdım V2,Burak,4.062,16,0,Ben Kalbimin Orta Yerine Seni Yazdım V2,30-04-2024,other,"0,577","0,718","0,485","119,0",3:55
Kapak Olsun,Defkhan,410.533,54,56,Kapak Olsun,28-07-2023,other,"0,665","0,61","0,47","120,0",2:27
Ela Gözlüm,Cem Adrian,3.757.762,63,0,Essentials / Seçkiler 2,15-01-2016,other,"0,643","0,677","0,558","115,0",4:03
son defa,Gece Üç Gibi,1.330,13,18,son defa,14-02-2025,other,"0,629","0,686","0,508","114,0",3:23
UYUMADIM,Alpir,220,9,19,UYUMADIM,13-12-2024,other,"0,664","0,623","0,557","117,0",3:18
Canın Beni Çekti,Melike Şahin,1.849.859,65,3,AKKOR,08-11-2024,huzunlu-pop,"0,51","0,479","0,253","118,0",3:13
Durma Yürüsene,Melike Şahin,1.849.859,65,3,AKKOR,08-11-2024,huzunlu-pop,"0,572","0,552","0,262","112,0",3:41
Diva Yorgun,Melike Şahin,1.849.859,65,3,Diva Yorgun,16-06-2023,huzunlu-pop,"0,524","0,457","0,299","120,0",4:19
Canın Beni Çekti,Melike Şahin,1.849.859,65,3,Canın Beni Çekti,25-09-2024,huzunlu-pop,"0,515","0,501","0,281","112,0",3:13
Korkmasam Ölürdüm,Melike Şahin,1.849.859,65,0,AKKOR,08-11-2024,huzunlu-pop,"0,566","0,534","0,254","107,0",4:44
Öpmem Lâzım,Melike Şahin,1.849.859,65,0,Merhem,26-02-2021,huzunlu-pop,"0,517","0,491","0,24","121,0",4:18
Sanki Rüya,Birsen Tezer,220.873,50,55,Kağıttan Kaptanlar,28-04-2023,other,"0,601","0,656","0,509","125,0",3:42
Medcezir,Levent Yüksel,391.681,54,60,Med Cezir,14-05-1993,other,"0,579","0,676","0,472","128,0",4:33
Papatya,Hirai Zerdüş,309.986,59,58,Papatya,10-05-2019,other,"0,607","0,662","0,482","121,0",3:08
Hüznün Gemileri,Ekin Uzunlar,396.960,53,59,Hüznün Gemileri,01-11-2018,other,"0,593","0,638","0,457","126,0",4:46
Harika,Ebru Gündeş,4.182.393,72,62,Evet,25-09-2008,arabesk,"0,597","0,592","0,361","106,0",3:18
Havaalanı,Hande Yener,2.135.132,68,2,Teşekkürler,01-01-2011,pop,"0,787","0,733","0,686","125,0",3:45
Seviyorsun,Hande Yener,2.135.132,68,1,"Hepsi Hit, Vol. 1",06-06-2016,pop,"0,772","0,709","0,684","126,0",3:39
Bana Aşk Ver,Aynur Aydın,463.482,50,1,Bana Aşk Ver,08-12-2017,other,"0,617","0,723","0,507","115,0",3:08
Aşkım (By Volga Tamöz),Bengü,1.767.479,65,57,Dört Dörtlük,08-06-2011,pop,"0,78","0,75","0,68","126,0",3:20
Telli Turnam,Musa Eroğlu,992.207,56,40,Kavimler Kapısı Anadolu,21-10-1998,other,"0,65","0,695","0,524","116,0",3:54
Eda,Emre Fel,659.556,61,50,Eda,14-02-2025,alt-rock,"0,546","0,794","0,528","140,0",3:22
Tatildeyim,Emre Altuğ,388.448,51,25,Tatildeyim,30-04-2024,pop,"0,771","0,668","0,671","128,0",2:51
Senden Güzeli Mi Var,Emre Fel,659.556,61,56,VEDA TÜRKÜSÜ,22-12-2023,alt-rock,"0,514","0,91","0,485","137,0",3:23
Delalım,Akif Çekirge,11.115,45,30,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.1 ),01-01-2006,other,"0,596","0,728","0,56","115,0",4:39
Gir Kanıma,Harun Kolçak,451.906,53,57,Beni Affet,14-11-1991,funk-rock,"0,639","0,786","0,669","114,0",3:47
Ben Değilim,Mela Bedel,123.014,57,6,Ben Değilim,15-11-2024,other,"0,616","0,722","0,544","124,0",3:42
Ben Sana Gelemem,Mela Bedel,123.014,57,7,Ben Sana Gelemem,23-02-2024,other,"0,622","0,659","0,5","116,0",3:12
KENDİNE İNAN,Mela Bedel,123.014,57,42,Bölüm Sonu,14-04-2023,other,"0,629","0,706","0,563","129,0",2:29
Bu Gece Uyumamışam,Akif Çekirge,11.115,45,27,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.1 ),01-01-2006,other,"0,626","0,614","0,484","123,0",3:57
Hele Ninna,Yahya Çekirge,1.558,34,27,Akif Çekirge Eşliğinde Asbap Geceleri ( Vol.2 ),01-03-2005,other,"0,604","0,658","0,496","122,0",3:21
Kundurama Kum Doldu,Akif Çekirge,11.115,45,26,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.3 ),01-01-2008,other,"0,631","0,605","0,483","116,0",2:48
Bahçe Duvarından Aştım,İbocan,24.324,41,56,Aşkımsın Sen (Vay Gençliğim),29-03-2016,other,"0,631","0,697","0,455","128,0",3:50
Işıklı Yol,İzel,346.876,54,65,Işıklı Yol,01-06-2007,pop,"0,723","0,683","0,709","127,0",4:24
Bir Fotoğraf Karesinde,Rope,186.960,50,42,Bir Fotoğraf Karesinde,31-07-2020,other,"0,66","0,603","0,548","119,0",2:55
Aleni Aleni,Volkan Konak,663.106,56,63,Manolya,22-04-2015,other,"0,598","0,669","0,534","116,0",3:55
Yarim Yarim,Volkan Konak,663.106,56,55,Mimoza,26-01-2009,other,"0,657","0,619","0,567","121,0",4:23
Göklerde Kartal Gibiydim,Volkan Konak,663.106,56,46,Mimoza,26-01-2009,other,"0,653","0,638","0,5","124,0",3:51
Herkesin Bir Derdi Var (Cerrahpaşa),Volkan Konak,663.106,56,52,Maranda,17-12-2003,other,"0,589","0,63","0,549","126,0",4:16
Deniz Üstü Köpürür,Cem Karaca,2.015.501,57,44,"Anısına, Vol. 2",04-05-1998,klasik-rock,"0,506","0,831","0,629","128,0",4:09
Farazi V Kayra - (Bir) Fotoğrafın Rüyası,,0,0,0,Hayalet Islığı,,other,"0,586","0,644","0,511","116,0",3:40
Üç Kitap ve Naralar,,0,0,0,Yağmurlu Bir Gün,,other,"0,655","0,723","0,453","117,0",4:12
Zorun Ne Sevgilim,İrem Derici,1.553.537,61,47,İki,18-09-2013,other,"0,653","0,717","0,48","121,0",3:43
Dünyanın En Güzel Kızı,Mavi Gri,1.681.202,61,62,Gök Mavi Yer Gri,09-12-2022,huzunlu-pop,"0,592","0,549","0,263","120,0",3:37
Vazgeç Artık Rüyalarımdan,Mavi Gri,1.681.202,61,59,Vazgeç Artık Rüyalarımdan,22-12-2023,huzunlu-pop,"0,551","0,539","0,245","107,0",3:14
O Ben Olamam,Mavi Gri,1.681.202,61,58,Gök Mavi Yer Gri,09-12-2022,huzunlu-pop,"0,537","0,533","0,251","121,0",5:19
Aklımı Kaçırdım,Mavi Gri,1.681.202,61,60,İlkyaz Yağmuru,25-05-2018,huzunlu-pop,"0,559","0,499","0,25","121,0",3:04
Ben Sende Yandım - Mavi,Mavi Gri,1.681.202,61,58,İlkyaz Yağmuru,25-05-2018,huzunlu-pop,"0,575","0,546","0,264","113,0",3:25
İkili Delilik,Sezen Aksu,13.986.198,74,40,Bahane,10-02-2005,pop-rock,"0,556","0,82","0,596","141,0",4:34
Alev Alev,Feridun Düzağaç,837.070,49,55,Orjinal Alt Yazılı,11-03-2013,huzunlu-pop,"0,565","0,545","0,262","114,0",4:26
Şanıma İnanma,Sezen Aksu,13.986.198,74,44,Bahane,10-02-2005,pop-rock,"0,542","0,849","0,572","127,0",3:55
Ya Ya Ya Ya,Hande Yener,2.135.132,68,58,İki Deli,11-12-2015,pop,"0,781","0,741","0,692","112,0",2:56
Bu Benim Hayatım,No.1,3.632.674,66,66,Bu Benim Hayatım,12-09-2015,other,"0,595","0,713","0,487","129,0",2:19
İçimde Dinmez Sızısın,Grup A1,1.458,12,28,Yeşil Gözler Sürmeli / İçimde Dinmez Sızısın,11-05-1979,other,"0,634","0,659","0,495","120,0",4:29
Seviyorum Delicesine,Ferdi Özbeğen,274.779,61,56,Seviyorum Delicesine,01-01-1986,other,"0,595","0,665","0,531","127,0",3:21
Dilek Taşı,Ferdi Özbeğen,274.779,61,51,Şarkılarım,05-04-1991,other,"0,61","0,614","0,511","125,0",5:00
Başkası Mı Var,Ferdi Özbeğen,274.779,61,49,Belki Bir Gün (Orijinal Plak Kayıtları),01-01-1985,other,"0,654","0,652","0,528","124,0",3:42
Ara Beni Lütfen,Kenan Doğulu,1.248.329,66,75,Festival,13-06-2006,pop,"0,72","0,665","0,628","128,0",4:39
Keşke,Yalın,2.487.185,71,62,Bir Bakmışsın,13-04-2005,huzunlu-pop,"0,564","0,571","0,261","118,0",4:57
Benden Adam Olmaz,Şehrin Azizleri,2.234,22,39,Benden Adam Olmaz,15-11-2018,other,"0,659","0,642","0,468","126,0",3:51
Dolunay,Reynmen,3.191.624,62,56,RnBesk,02-02-2020,pop,"0,78","0,763","0,716","122,0",3:19
Naber?,Hande Yener,2.135.132,68,45,Mükemmel,02-06-2014,pop,"0,756","0,745","0,707","122,0",3:18
Unutamadım,Barış Manço,3.052.229,63,53,"Mançoloji, Vol. 1",23-02-1999,klasik-rock,"0,53","0,746","0,58","126,0",4:27
Güzel Kadın,Raviş,37.031,35,51,Güzel Kadın,16-10-2015,other,"0,574","0,699","0,519","117,0",3:36
Yabani,Aşkın Nur Yengi,831.637,57,57,Haberci,06-06-1997,pop,"0,763","0,681","0,684","125,0",3:43
Benimle Oynama,Burak Kut,201.773,48,57,Benimle Oynama / Çılgınım,29-04-1994,pop,"0,781","0,744","0,681","126,0",4:16
İkinci Bahar,Sezen Aksu,13.986.198,74,46,Firuze,01-01-1982,pop-rock,"0,624","0,863","0,502","129,0",2:44
Zor Kadın,Sertab Erener,2.310.274,68,53,Sertab Erener,24-03-1999,pop-rock,"0,553","0,776","0,577","139,0",3:48
Sen Banasın,Cihan Mürtezaoğlu,208.138,51,49,Bitsin Bu Delilik,30-09-2016,other,"0,588","0,695","0,49","115,0",4:14
Denize Bıraksam,Göksel,1.782.533,63,53,Sen Orda Yoksun,01-01-2015,pop,"0,726","0,754","0,657","125,0",3:34
